Item_ID,Platform,Search_Term,URL,Title_Caption,Creator_Name,Date_Posted,Views,Likes,Comments,Content_Format,Subscribers,Duration,Description
YT-01,YouTube,how to start exercising,https://www.youtube.com/watch?v=LzLhYBIQNmc&t=820s,How to *actually* workout consistently with ADHD! 💪,Hayley Honeyman,2024-03-10T20:00:06.000Z,125792,8300,404,Long video (>5min),,00:16:31,"Join me in my $8 How to Build a Workout Routine with ADHD Workshop here (join Live or get access to the recorded session) 🏃‍♀️🌻: https://hayley.busybeewithadhd.org/of...  Over the last 2 years I started to figure out WHY I could never hold a workout routine for more than a few weeks or months. Now that I've unlocked these secrets, I workout nearly EVERY DAY! 🌞 (it just probably looks different than you expect!)   Join me in any of my other programs here! https://hayley-honeyman.mykajabi.com/"
YT-02,YouTube,how to start exercising,https://www.youtube.com/watch?v=0QXaAQMwfBI,Beginner's Gym Survival Guide,Will Tennyson,2022-01-09T15:00:01.000Z,1889994,100000,2620,Long video (>5min),,00:15:21,"Today I go back in time to when I NEVER stepped foot in the gym but with my current knowledge. How would I eat, train and stay motivated? In this video I share what I wish I did/knew when first starting my fitness journey. I share a lot of my top diet and workout tips that will for sure help anybody just getting started in the gym!   Hope you all enjoy the video! Thank you for watching!    BARE PERFORMANCE NUTRITION SUPPS- CODE 'TENNY' https://bit.ly/3BBmsWo  SHOP GYMSHARK 🦈 -   https://gym.sh/"
YT-03,YouTube,how to start exercising,https://www.youtube.com/watch?v=2qWoegDcHMI,5 Beginner Gym Mistakes You Need to Avoid!,PictureFit,2018-09-01T17:33:25.000Z,4118628,110000,2278,Long video (>5min),,00:06:07,"Join the PictureFit Discord ►    / discord    There are lots of things that can go wrong at the gym. And if you want to get in shape and do it safely, it's best that you avoid these five common beginner gym mistakes!  *************************************************************** Support PictureFit!  MERCH! ► https://picfitshop.com Patreon ► https://goo.gl/lmsWf7 Amazon Affiliate (I get a kickback. No added charge!) ► https://goo.gl/FLN5pw  ******************************************************"
YT-04,YouTube,how to start exercising,https://www.youtube.com/watch?v=rBUjOY12gJA,What Happens To Your Body When You Start Exercising Regularly | The Human Body,Insider Tech,2018-01-24T17:12:59.000Z,9681417,197000,4456,Long video (>5min),,00:04:18,"Leading a more active lifestyle takes time, effort, and determination, but in the end, it's really worth the shot. Here's what will happen to your body when you exercise regularly.  ------------------------------------------------------  #Exercise #Exercising #TechInsider  Tech Insider tells you all you need to know about tech: gadgets, how-to's, gaming, science, digital culture, and more.  Subscribe to our channel and visit us at: http://www.businessinsider.com/sai TI on Facebook: https://www.f"
YT-05,YouTube,how to start exercising,https://www.youtube.com/watch?v=KEhbYNmY3N4,This Is What REALLY Happens As You Start Exercising (Animated),Practical Wisdom - Interesting Ideas,2018-12-23T09:30:01.000Z,8775113,228000,5709,Long video (>5min),,00:09:05,"Have you ever wondered, what happens to your body, when you start exercising? The changes to your body physic, your muscles, the mind, and the heart? Well in this video we are going to explore just that. They say exercise is like taking a magical pill for your brain, and that if there were ever a drug that could do for your health everything that exercise can it would likely be the most valuable pharmaceutical ever developed. So why is exercise so good for us?   #Exercise #Gym #Wisdom  Audible 3"
YT-06,YouTube,how to start exercising,https://www.youtube.com/watch?v=k6Qp78Hh5DI,How to start exercising when you're unfit,Trimmed,2019-12-11T10:00:08.000Z,192896,5800,209,Long video (>5min),,00:08:21,"Did you find these tips helpful? You'll love the free weekly newsletter. Each week you get 3 practical tips (yes practical not the fluffy stuff) to improve your workout, eat better and build better habits.  Join 200+ Trimmers! www.thetrimmed.com/newsletter  Here's how to start exercising when you are overweight and out of shape Maybe you've been told by a health professional that you're overweight or even obese. Maybe you've just haven't exercised or had a workout after years. Nevertheless, I wo"
YT-07,YouTube,how to start exercising,https://www.youtube.com/watch?v=geUKI-2uWaY,BEGINNER CALISTHENICS WORKOUT,Meli,2023-09-17T10:00:27.000Z,6696076,291000,2365,Long video (>5min),,00:07:59,"Start My Program and Train The Way Your Body Was Designed To: https://innerunit.com  Let me know if you try this Push Pull Calisthenics workout, I’ve made it specifically for beginners, so DON’T STRESS.   There are progression exercises for each calisthenics exercise, so you can work your way up in intensity depending on your level  I’m committed to helping you feel your best and MOST capable self in your body, and this workout was made to train the FOUNDATIONAL STRENGTH you need, which will ben"
YT-08,YouTube,how to start exercising,https://www.youtube.com/watch?v=Wa4f7f5y7uQ,How to Create the Perfect Workout Plan | Beginner Guide,Magnus Method,2022-02-04T19:48:54.000Z,799909,19000,248,Long video (>5min),,00:08:09,"This is how to tailor a workout plan that works for YOU!   ◼ Check Out The Magnus Method Training Program App  ⚡️ https://magnusmethod.com/ ⚡️  For daily fitness advice & inspiration, follow me on Instagram: 💪   / magnuslygdback   💪  ◼ Check out some of my products!  ◾ My Beard Oil:  👉  https://magnusmethod.com/products/bea...  ◾ My Training Bands:  👉  https://magnusmethod.com/collections/all"
YT-09,YouTube,how to start exercising,https://www.youtube.com/watch?v=RPtNUn1HhJE,Start Exercise After Years of Inactivity: Here's Your Over 50 Fitness Plan,Alicia Jones Healthy Living,2022-07-14T18:47:37.000Z,18144,321,15,Long video (>5min),,00:05:18,"Are you ready to start exercise after years of inactivity? Maybe you’ve enjoyed some activity, such as warm summer walks, but they’ve been sporadic? Or maybe up until now, you've been focusing on weight loss, and now that you’ve reached a certain goal, you’re ready to add in a an easy over 50 fitness plan?  If this sounds like you, then this is the video that will show you an easy fitness plan of attack!   Get in Shape Workout after years of inactivity:    • 5 Best Exercises to Get in Shape Afte"
YT-10,YouTube,how to start exercising,https://www.youtube.com/watch?v=MilYefF9DjI,What Happens to Your Body When You Start Exercising?,The Infographics Show,2022-08-06T20:15:00.000Z,5526432,137000,2924,Long video (>5min),,00:19:00,"Exercising has some amazing benefits to the body, and in today's epic new video, we're going to fill you in on why you need to get off the couch and start hitting the gym daily!  🔔 SUBSCRIBE TO THE INFOGRAPHICS SHOW ► https://www.youtube.com/c/theinfograp...  🔖 MY SOCIAL PAGES TikTok ►   / theinfographicsshow   Discord ►   / discord   Facebook ►   / theinfographicsshow   Twitter ►   / theinfoshow     💭 Find more interesting stuff on: https://www.theinfographicsshow.com   📝 SOURCES:https://pa"
